CustomerIndex,ChurnPrediction,ChurnProbability,MonthlyCharges
437,0,0.025249020887360484,114.05000305175781
2280,1,0.6977424156800269,100.1500015258789
2235,0,0.03166060872845148,78.3499984741211
4460,0,0.378234429478328,78.19999694824219
3761,0,0.01585745275290841,82.6500015258789
5748,1,0.6310082460713792,99.8499984741211
3568,1,0.6743427007755115,99.1500015258789
2976,0,0.07066861042349167,24.100000381469727
5928,0,0.0035323087662045387,19.75
1639,0,0.4270019192525171,45.04999923706055
2079,0,0.34582748358949783,106.05000305175781
1280,0,0.11367847181963282,114.8499984741211
667,0,0.32552381043787393,30.200000762939453
3524,1,0.7729930644827798,84.80000305175781
5283,0,0.15807966510118537,48.79999923706055
485,0,0.08426261132024446,84.5
6121,0,0.1065733362559823,19.5
2136,1,0.5595158066383206,91.0
6501,0,0.48178883992746663,105.69999694824219
5356,0,0.07193695942354617,35.400001525878906
6529,1,0.7468406215739412,74.8499984741211
1242,0,0.2814552140523591,28.5
1615,0,0.045989549075982177,20.049999237060547
5082,0,0.02152332601212479,19.799999237060547
5389,0,0.4893755104526084,69.1500015258789
3985,0,0.1881024494681477,54.54999923706055
761,1,0.808533345157189,89.25
6125,1,0.6364964823712218,102.25
6053,0,0.01929584383141134,25.100000381469727
5547,1,0.9049874482386052,89.44999694824219
1838,1,0.5642779698492814,90.05000305175781
6979,1,0.5502131512295634,24.200000762939453
4345,0,0.00340628887206076,20.549999237060547
3553,0,0.014117747085993794,23.399999618530273
346,1,0.9149881988353561,90.4000015258789
3624,0,0.25992963831808924,96.0999984741211
950,1,0.5543191403134953,44.95000076293945
3707,0,0.004750209528465276,19.899999618530273
6633,1,0.8829716486477294,74.5
2488,0,0.23844406476571742,55.25
4852,0,0.003432533772922116,20.299999237060547
2519,1,0.8040411723450561,91.44999694824219
5400,1,0.8334667368773881,70.4000015258789
1520,0,0.36690458036506046,19.600000381469727
3712,0,0.055650897351057355,65.4000015258789
880,0,0.416206550597994,110.0999984741211
3510,1,0.8748535974413864,75.25
6114,0,0.46765457516756026,66.6500015258789
3283,0,0.004527215279383841,20.350000381469727
523,1,0.8295877444796087,75.5999984741211
1035,0,0.006784895917849527,25.100000381469727
2246,1,0.5181119181600333,102.44999694824219
6140,0,0.42822528663843523,19.950000762939453
4030,0,0.3905812713392279,51.0
2255,0,0.38049887032255464,51.20000076293945
6304,1,0.904640917851833,77.6500015258789
5965,0,0.022617479528981455,63.70000076293945
5614,0,0.0914007314922462,85.5
5601,0,0.06025502761518492,40.900001525878906
2466,0,0.0033367138593211735,20.549999237060547
4914,0,0.005329086882558472,74.55000305175781
5086,0,0.03883582558014296,20.399999618530273
888,0,0.24908565753109185,91.19999694824219
123,0,0.2711352289008451,50.70000076293945
3408,1,0.5220761632464381,50.70000076293945
3362,0,0.4868649753027042,54.900001525878906
7011,0,0.23601934913454642,60.400001525878906
3158,0,0.25350636910071817,49.54999923706055
5968,0,0.2706950049537034,74.05000305175781
5300,1,0.7146915701460302,80.05000305175781
4761,0,0.004711836275269229,25.0
4441,0,0.01919952620937888,20.25
290,1,0.6516371998094608,76.0999984741211
4120,0,0.39842678717858154,78.94999694824219
3704,0,0.011161529111971328,73.0
1718,0,0.1655187246546423,19.899999618530273
5202,0,0.04064685345450414,111.0999984741211
1472,0,0.3775144593604568,74.4000015258789
3217,0,0.46513333300072496,20.450000762939453
4530,0,0.0054872098248911075,19.649999618530273
3211,0,0.07133917388193624,20.049999237060547
1016,0,0.007093635050484359,80.0999984741211
1577,0,0.27448800328053563,98.5999984741211
642,1,0.8849670849926883,89.55000305175781
4770,0,0.08612779570940185,19.700000762939453
3856,1,0.5832404692606408,114.0999984741211
6314,1,0.8041432635769027,73.8499984741211
3185,1,0.712871859757139,25.049999237060547
4594,0,0.28100797023867213,102.80000305175781
6478,0,0.12329319738656763,110.80000305175781
3975,1,0.6718538343674793,85.80000305175781
1461,0,0.25318903673896304,95.9000015258789
2268,0,0.05848946014053759,20.600000381469727
1999,1,0.6997894199372666,74.94999694824219
2361,1,0.576031180303538,45.95000076293945
4728,0,0.010292736982523256,38.25
6481,1,0.6201862230353014,69.94999694824219
6942,0,0.003770403832584218,20.0
1334,1,0.799756112328851,25.200000762939453
5150,1,0.5814439697985357,20.100000381469727
2448,1,0.6658924348067277,104.8499984741211
2231,1,0.8390962138081036,70.0
203,0,0.46724492211637325,78.30000305175781
1644,0,0.44258003677355373,109.80000305175781
1014,0,0.20949758504202312,57.45000076293945
6614,0,0.0015483865482350575,19.700000762939453
5710,0,0.18884983838924704,110.5
1153,0,0.047094397620233826,64.30000305175781
6332,0,0.10087101411329001,105.25
3604,0,0.050697950930131824,19.600000381469727
1076,0,0.0073529448573227555,24.5
3978,1,0.8354064131723127,90.69999694824219
3166,0,0.33796412560223565,48.79999923706055
6133,1,0.6768216239615624,24.899999618530273
185,1,0.7935893262919231,24.799999237060547
4686,0,0.1317602085221641,107.4000015258789
3516,1,0.6796929233433802,43.29999923706055
1175,0,0.49358602427896514,80.0
1606,0,0.020859021713375035,104.0999984741211
1653,0,0.0068678842578198665,20.75
2180,0,0.040476225165153396,95.5
1807,1,0.8656143865333206,76.3499984741211
2292,0,0.009658470334410228,91.30000305175781
1560,0,0.05373845122648461,45.04999923706055
5393,1,0.8964205992560047,70.5999984741211
